tasks, time 
1,26000
2,14985
3,11496
4,9889
5,8969
6,8371
7,8217
8,8103
9,8269
10,8504
11,8505
12,8718
13,9280
14,9606
15,9960
16,10393
17,11044
18,11795
19,12541
20,13157
21,13593
22,14722
23,15558
24,16489
25,17405
26,18706
27,19775
28,21807
29,22692
30,24475
31,26186
32,27570
33,30428
34,32129
35,35371
36,39104
37,41860
38,46053
39,49394
40,54416
41,59844
42,65254
43,68992
44,74033
45,81253
46,87198
47,92893
48,101011
49,108411
50,122994
