tasks, time 
1,202000
2,113832
3,85204
4,71560
5,63130
6,59796
7,56899
8,56532
9,54556
10,56706
11,56278
12,55754
13,59850
14,62484
15,62702
16,62792
17,68097
18,67325
19,77623
20,83390
21,88359
22,94596
23,103218
24,109852
25,116386
26,125415
27,138136
28,148870
29,160207
30,168329
31,184413
32,200347
33,211384
34,225321
35,239029
36,251719
37,274930
38,292210
39,323778
40,350480
41,375258
42,407204
43,430819
44,464250
45,495636
46,526199
47,603186
48,661250
49,706383
50,767392
